WATER_TYPE_NAME,Mgmt_Unit,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LAST_ASSESSED_CYCLE,DWQ_Category,EPA_IR_CATEGORY_ID,PARAMETER_CODE_NAME,PARAMETER_ATTAINMENT,Parameter_Status,Uses,FIRST_LISTED_CYCLE,CWA303D_PRIORITY_RANKING,WATER_SIZE,UNITS
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2010,Low,94.158,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (33613),Aquatic Wildlife (Cold Water),1998,Low,94.158,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,94.158,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-001_00,Meeks Cabin Reservoir,2014,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,16.7653,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-003_00,Marsh Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,41.8961,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-004_00,Bridger Lake,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),1996,Low,19.258,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-004_00,Bridger Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,19.258,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-005_00,Lyman Lake,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),1996,Low,35.3525,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-006_00,China Lake,2020,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),1996,Low,27.0588,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-006_00,China Lake,2020,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2000,Low,27.0588,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040107-007_00,Stateline Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,273.712,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-002_00,Scout Lake,2020,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,19.2003,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-003_00,Pyramid Lake,2020,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,14.8204,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-006_00,Mirror Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,53.4692,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-011_00,Marshall Lake,2020,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,18.7856,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-012_00,Hoover Lake,2020,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,18.5509,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-112_00,Moon Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,786.099,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-230_00,Big Sand Wash Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,394.4866,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-293_00,Butterfly Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,4.7102,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-293_00,Butterfly Lake,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,4.7102,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-296_00,Upper Stillwater Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,300.7637,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060003-297_00,Paradise Park Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,147.0235,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-001_00,Strawberry Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (33705),Aquatic Wildlife (Cold Water),1998,Low,15614.1906,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-001_00,Strawberry Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Meeting criteria,TMDL Approved (33705),Aquatic Wildlife (Cold Water),NA,,15614.1906,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-001_00,Strawberry Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,15614.1906,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-003_00,Red Creek Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,146.9148,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-004_00,Lake Canyon Lake,2022,Not Supporting,5,TOTAL DISSOLVED SOLIDS (TDS),Not meeting criteria,TMDL Needed,Agricultural,2016,Low,29.233,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-004_00,Lake Canyon Lake,2022,Not Supporting,5,ARSENIC,Not meeting criteria,TMDL Needed,Domestic Source,2016,Low,29.233,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-004_00,Lake Canyon Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,29.233,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-004_00,Lake Canyon Lake,2022,Not Supporting,5,BORON,Not meeting criteria,TMDL Needed,Agricultural,2016,Low,29.233,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-006_00,Starvation Reservoir,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,3350.6952,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-006_00,Starvation Reservoir,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,3350.6952,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060004-007_00,Currant Creek Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,274.4405,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-001_00,Fairview Lakes,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,103.8574,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-004_00,Lower Gooseberry Reservoir,2022,Not Supporting,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2010,Low,64.1617,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-005_00,Scofield Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,HARMFUL ALGAL BLOOMS,Not meeting criteria,TMDL Needed,Recreation and Aesthetics (Infrequent Primary Contact),2020,Low,2670.447,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-005_00,Scofield Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,EUTROPHICATION,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2022,High,2670.447,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-005_00,Scofield Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,PH,Meeting criteria,TMDL Approved (1060),Aquatic Wildlife (Cold Water),NA,,2670.447,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-005_00,Scofield Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (1060),Aquatic Wildlife (Cold Water),1998,Low,2670.447,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060007-005_00,Scofield Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (1060),Aquatic Wildlife (Cold Water),1998,Low,2670.447,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-001_00,Ferron Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,54.0587,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-004_00,Duck Fork Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,42.2838,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-017_00,Joes Valley Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,1052.2234,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-018_00,Huntington Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,163.0396,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-023_00,Miller Flat Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,160.5126,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-024_00,Cleveland Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,146.5912,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-025_00,Electric Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,450.7146,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-026_00,Millsite Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,367.1425,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14060009-034_00,Huntington Lake North,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,235.0793,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-001_00,Pelican Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Warm Water),2004,Low,1114.3902,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-001_00,Pelican Lake,2022,Not Supporting,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Needed,Aquatic Wildlife (Warm Water),2012,Low,1114.3902,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-002_00,Brough Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2008,Low,135.8688,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-002_00,Brough Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,MERCURY IN FISH TISSUE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,135.8688,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-002_00,Brough Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (35100),Aquatic Wildlife (Cold Water),1998,Low,135.8688,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-003_00,Ashley Twin Lakes,2014,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,31.7244,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-005_00,Oaks Park Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,338.1639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-006_00,Steinaker Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2008,Low,745.1845,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-006_00,Steinaker Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (35078),Aquatic Wildlife (Cold Water),1998,Low,745.1845,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-007_00,East Park Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,178.5591,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-008_00,Red Fleet Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (35079),Aquatic Wildlife (Cold Water),1998,Low,477.8822,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-008_00,Red Fleet Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2010,Low,477.8822,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14060010-009_00,Stewart Lake,2022,Not Supporting,5,SELENIUM,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Warm Water),2016,Low,158.3395,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-006_00,Fish Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,2586.4949,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-010_00,Johnson Valley Reservoir,2022,Approved TMDL,4A,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (4059),Aquatic Wildlife (Cold Water),1998,Low,671.6737,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-015_00,Mill Meadow Reservoir,2022,Approved TMDL,4A,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (4061),Aquatic Wildlife (Cold Water),1998,Low,160.4492,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-018_00,Cook Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,10.3812,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-019_00,Forsyth Reservoir,2022,Approved TMDL,4A,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (4060),Aquatic Wildlife (Cold Water),1998,Low,165.0508,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-019_00,Forsyth Reservoir,2022,Approved TMDL,4A,DISSOLVED OXYGEN,Meeting criteria,TMDL Approved (4060),Aquatic Wildlife (Cold Water),NA,,165.0508,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-027_00,Donkey Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,23.7681,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-044_00,Lower Bowns Reservoir,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2010,Low,107.9439,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-044_00,Lower Bowns Reservoir,2022,Not Supporting,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2012,Low,107.9439,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-044_00,Lower Bowns Reservoir,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2012,Low,107.9439,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070003-044_00,Lower Bowns Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2006,Low,107.9439,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070005-008_00,Posey Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,12.0249,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070005-011_00,Wide Hollow Reservoir,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2010,Low,155.635,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070005-011_00,Wide Hollow Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2008,Low,155.635,Acres
"LAKE, FRESHWATER",Western Colorado River,UT-L-14070005-011_00,Wide Hollow Reservoir,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2008,Low,155.635,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14070006-001_00,Lake Powell,2022,Fully Supporting,1,NA,NA,NA,NA,NA,NA,149885.2379,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080201-002_00,Blanding City Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2022,Low,91.5405,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080201-002_00,Blanding City Reservoir,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,91.5405,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080201-002_00,Blanding City Reservoir,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2012,Low,91.5405,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080201-007_00,Recapture Reservoir,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,220.9871,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080201-007_00,Recapture Reservoir,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,220.9871,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080203-002_00,Monticello Lake,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,5.4928,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080203-002_00,Monticello Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2006,Low,5.4928,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080203-002_00,Monticello Lake,2022,Not Supporting,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,5.4928,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14080203-009_00,Lloyds Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,90.4705,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-001_00,Gunlock Reservoir,2022,Approved TMDL,4A,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (12106),Aquatic Wildlife (Warm Water),1998,Low,221.0822,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-001_00,Gunlock Reservoir,2022,Approved TMDL,4A,DISSOLVED OXYGEN,Meeting criteria,TMDL Approved (12106),Aquatic Wildlife (Warm Water),NA,,221.0822,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-008_00,Baker Dam Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (12105),Aquatic Wildlife (Cold Water),1998,Low,44.1358,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-008_00,Baker Dam Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (12105),Aquatic Wildlife (Cold Water),2002,Low,44.1358,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-008_00,Baker Dam Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),1992,Low,44.1358,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-018_00,Kolob Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,237.9389,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-024_00,Quail Creek Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,587.9211,Acres
"LAKE, FRESHWATER",Lower Colorado River,UT-L-15010008-025_00,Sand Hollow Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,1260.2944,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010101-001_00,Woodruff Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,92.0853,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010101-002_00,Birch Creek,2022,Insufficient Data,3,NA,NA,NA,NA,NA,NA,61.6487,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010101-007_00,Little Creek Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,67.2094,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010101-030_00,Whitney Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,129.2577,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010201-003_00,Bear Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,35414.4736,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010202-002_00,Cutler Reservoir,2022,Approved TMDL,4A,DISSOLVED OXYGEN,Meeting criteria,TMDL Approved (38237),Aquatic Wildlife (Warm Water),NA,,1356.0776,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010202-002_00,Cutler Reservoir,2022,Approved TMDL,4A,EUTROPHICATION,Not meeting criteria,TMDL Approved (38237),Aquatic Wildlife (Warm Water),2004,Low,1356.0776,Acres
"LAKE, FRESHWATER",Bear River,UT-L-16010202-002_00,Cutler Reservoir,2022,Approved TMDL,4A,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (38237),Aquatic Wildlife (Warm Water),2004,Low,1356.0776,Acres
